m,n,k,Version0,Version1
20,20,20,0.432,0.198
22,22,22,0.426,0.211
24,24,24,0.401,0.202
26,26,26,0.404,0.202
28,28,28,0.410,0.203
30,30,30,0.443,0.213
32,32,32,0.446,0.213
34,34,34,0.447,0.213
36,36,36,0.449,0.206
38,38,38,0.434,0.210
40,40,40,0.440,0.210
42,42,42,0.445,0.210
44,44,44,0.446,0.210
46,46,46,0.448,0.212
48,48,48,0.448,0.211
50,50,50,0.448,0.212
52,52,52,0.449,0.212
54,54,54,0.450,0.212
56,56,56,0.450,0.212
58,58,58,0.450,0.212
60,60,60,0.450,0.212
62,62,62,0.449,0.212
64,64,64,0.448,0.212
66,66,66,0.449,0.212
68,68,68,0.449,0.212
70,70,70,0.449,0.212
72,72,72,0.449,0.211
74,74,74,0.449,0.211
76,76,76,0.449,0.211
78,78,78,0.447,0.211
80,80,80,0.448,0.211
82,82,82,0.446,0.210
84,84,84,0.445,0.210
86,86,86,0.442,0.210
88,88,88,0.440,0.209
90,90,90,0.435,0.209
92,92,92,0.426,0.207
94,94,94,0.416,0.205
96,96,96,0.410,0.204
98,98,98,0.401,0.203
