m,n,k,Version4,Version1
16,16,16,0.745,0.195
20,20,20,1.066,0.198
24,24,24,1.152,0.199
28,28,28,1.220,0.179
32,32,32,1.285,0.211
36,36,36,1.314,0.205
40,40,40,1.319,0.208
44,44,44,1.352,0.202
48,48,48,1.357,0.208
52,52,52,1.378,0.203
56,56,56,1.399,0.209
60,60,60,1.282,0.210
64,64,64,1.421,0.208
68,68,68,1.388,0.209
72,72,72,1.280,0.210
76,76,76,1.378,0.209
80,80,80,1.391,0.207
84,84,84,1.411,0.208
88,88,88,1.392,0.206
92,92,92,1.378,0.205
96,96,96,1.310,0.203
100,100,100,1.255,0.201
104,104,104,1.326,0.199
108,108,108,1.290,0.197
112,112,112,1.291,0.196
116,116,116,1.260,0.195
120,120,120,1.257,0.193
124,124,124,1.262,0.193
128,128,128,1.274,0.192
132,132,132,1.260,0.191
136,136,136,1.271,0.191
140,140,140,1.241,0.190
144,144,144,1.258,0.190
148,148,148,1.261,0.189
152,152,152,1.252,0.189
156,156,156,1.213,0.189
160,160,160,1.245,0.188
164,164,164,1.217,0.189
168,168,168,1.246,0.189
172,172,172,1.223,0.189
176,176,176,1.244,0.189
180,180,180,1.229,0.189
184,184,184,1.247,0.188
188,188,188,1.221,0.188
192,192,192,1.231,0.188
196,196,196,1.235,0.189
