m,n,k,Version0,Version1
20,20,20,0.221,0.241
22,22,22,0.221,0.242
24,24,24,0.221,0.226
26,26,26,0.251,0.267
28,28,28,0.272,0.227
30,30,30,0.206,0.214
32,32,32,0.212,0.228
34,34,34,0.212,0.228
36,36,36,0.213,0.229
38,38,38,0.232,0.232
40,40,40,0.316,0.316
42,42,42,0.300,0.332
44,44,44,0.369,0.387
46,46,46,0.359,0.397
48,48,48,0.391,0.443
50,50,50,0.427,0.455
52,52,52,0.401,0.418
54,54,54,0.428,0.467
56,56,56,0.406,0.470
58,58,58,0.457,0.498
60,60,60,0.438,0.448
62,62,62,0.430,0.474
64,64,64,0.399,0.427
66,66,66,0.425,0.485
68,68,68,0.485,0.481
70,70,70,0.465,0.530
72,72,72,0.608,0.786
74,74,74,0.834,1.019
76,76,76,1.012,1.015
78,78,78,1.103,1.157
80,80,80,1.104,1.107
82,82,82,1.100,1.159
84,84,84,1.097,1.186
86,86,86,1.101,1.179
88,88,88,1.096,1.189
90,90,90,1.092,1.188
92,92,92,1.090,1.187
94,94,94,1.113,1.193
96,96,96,1.057,1.188
98,98,98,1.078,1.190
